parcode,trial,rt,choice,item_left,item_right
207,193,4493,-1,-2.047,-5.07
207,195,3220,1,-9.9,0
207,197,4272,1,-5.95,-1.98
207,199,3051,-1,-1.704,-5.67
207,201,4319,1,-2.695,-1.638
207,203,2816,1,-5.04,-1.05
207,205,5027,1,-3.408,-3.42
207,207,4903,-1,-3.06,-3.99
207,209,2080,-1,-1.881,-3.869
207,211,3514,1,-3.675,-1.638
207,213,6300,-1,-1.944,-3.96
207,215,5231,-1,-1.68,-1.65
207,217,1917,-1,-1.701,-4.686
207,219,4324,1,-4.556,-2.553
207,221,2494,1,-4.96,-2.916
207,223,5050,1,-4.355,-3.312
207,225,2138,-1,-2.376,-5.4
207,227,4381,-1,-3.328,-4.312
207,229,6594,1,-1.695,-1.656
207,231,2349,1,-3.48,-1.456
207,233,2703,1,-5.984,-1.92
207,235,1769,1,-5.696,-1.74
207,237,1326,-1,-1.808,-4.898
207,239,2176,1,-5.984,-3.016
207,241,2817,-1,-4.845,-4.816
207,243,4958,1,-4.2,-1.204
207,245,6647,-1,-3.456,-3.51
207,247,3286,-1,-2.304,-5.33
207,249,1870,1,-5.103,-4.116
207,251,2320,-1,-2.26,-4.326
207,253,4034,-1,-3.944,-4.895
207,255,2037,1,-5.394,-1.344
207,257,1490,-1,-1.624,-4.65
207,259,2050,1,-3.408,-1.442
207,261,4517,-1,-1.84,-5.832
207,263,3756,-1,-2.261,-5.256
207,265,3854,1,-5.632,-1.674
207,267,1171,1,-5.916,-1.869
207,269,1629,1,-5.796,-2.85
207,271,3827,-1,-1.36,-2.368
207,273,6472,1,-5.775,-4.845
207,275,1345,-1,-1.98,-5.06
207,277,4691,-1,-4.416,-5.478
207,279,4934,1,-3.344,-3.354
207,281,4652,-1,-1.7,-2.624
207,283,7475,1,-1.792,-1.748
207,285,4382,-1,0,-9.9
207,287,3549,1,-9.9,0
207,289,5065,-1,-5.106,-4.125
207,291,6537,1,-4.3,-1.265
207,293,3696,1,-4.158,-3.159
207,295,5031,-1,-2.968,-4.982
207,297,2533,1,-5.356,-1.368
207,299,4796,1,-3.416,-2.448
207,301,7125,-1,-4.221,-4.221
207,303,1713,-1,0,-9.9
207,305,3332,1,-4.18,-1.248
207,307,5324,1,-3.942,-3.978
207,309,3097,1,-3.944,-2.925
207,311,3807,-1,-3.2,-4.209
207,313,4598,1,-4.818,-2.844
207,315,2475,-1,-2.808,-4.757
207,317,1998,1,-5.04,-1.068
207,319,3572,-1,-1.725,-5.796
207,321,4449,1,-1.344,-1.35
207,323,1558,1,-5.022,-1.056
207,325,2225,-1,-1.199,-5.208
207,327,3820,1,-3.3,-3.255
207,329,2196,-1,-1.41,-5.4
207,331,4060,-1,-2.691,-3.663
207,333,2003,-1,-1.32,-4.326
207,335,1676,-1,-1.06,-5.04
207,337,1313,-1,-1.596,-2.618
208,171,1655,1,-5.394,-1.344
208,173,1562,-1,-4.158,-5.185
208,175,1179,1,-3.675,-1.638
208,177,927,1,-4.96,-2.916
208,179,1116,-1,-2.968,-4.992
208,181,882,-1,-4.355,-3.312
208,183,1048,1,-3.06,-3.99
208,185,713,-1,-1.808,-4.898
208,187,735,-1,-2.304,-5.33
208,189,1034,-1,-2.508,-3.528
208,191,930,1,-5.103,-4.116
208,193,1289,1,-5.307,-3.296
208,195,1159,-1,-2.695,-1.638
208,197,727,-1,-1.455,-5.46
208,199,1171,-1,-1.1,-4.042
208,201,927,1,-4.823,-1.734
208,203,1236,-1,-2.376,-5.4
208,205,1158,1,-1.695,-1.656
208,207,850,1,-5.096,-1.1
208,209,732,1,-3.48,-1.456
208,211,968,-1,0,-9.9
208,213,972,1,-5.06,-4.092
208,215,1063,1,-3.045,-2.046
208,217,1023,1,-5.696,-1.74
208,219,848,-1,-3.969,-4.988
208,221,820,1,-4.056,-1.06
208,223,1074,-1,-3.39,-5.395
208,225,814,-1,-1.9,-5.84
208,227,738,1,-5.04,-1.05
208,229,746,-1,-1.17,-5.12
208,231,1608,-1,-4.446,-4.418
208,233,979,1,-5.661,-2.691
208,235,781,1,-5.406,-3.39
208,237,700,-1,-1.417,-3.366
208,239,670,1,-5.005,-4.004
208,241,639,-1,-1.92,-2.928
208,243,599,-1,-1.881,-3.869
208,245,713,1,-3.036,-1.026
208,247,998,-1,-1.68,-1.65
208,249,1692,1,-5.568,-1.52
208,251,912,-1,-2.592,-5.625
208,253,731,1,-5.984,-1.92
208,255,1330,-1,-5.976,-5.016
208,257,1218,-1,-3.565,-5.546
208,259,1036,-1,-4.83,-2.85
208,261,1533,-1,-3.942,-3.978
208,263,910,1,-4.536,-1.56
208,265,847,1,-3.564,-4.55
208,267,1593,1,-5.041,-1.04
208,269,864,-1,-1.442,-3.492
208,271,1363,1,-1.36,-2.368
208,273,719,1,-4.071,-1.056
208,275,780,1,-3.944,-2.925
208,277,871,1,-5.796,-2.85
208,279,1163,1,-4.88,-5.874
208,281,908,1,-5.4,-4.42
208,283,782,1,-5.12,-3.105
208,285,1467,-1,-3.658,-5.616
208,287,730,-1,-1.394,-5.396
208,289,1897,1,-2.147,-3.161
208,291,1292,1,-3.2,-4.209
208,293,1047,1,-4.818,-2.844
208,295,652,1,-3.408,-1.442
208,297,719,-1,-1.84,-5.832
208,299,567,-1,-1.802,-4.77
208,301,1357,1,-5.106,-4.125
208,303,709,1,-2.968,-4.982
208,305,1513,1,-4.662,-3.712
208,307,1576,1,-5.852,-2.808
208,309,792,-1,0,-9.9
208,311,2397,-1,-4.221,-4.221
208,313,1395,-1,-1.725,-5.796
208,315,1251,-1,-5.916,-1.869
208,317,1505,1,-3.066,-1.092
208,319,1897,-1,-3.344,-3.354
208,321,1008,-1,-4.266,-1.236
208,323,3006,-1,-2.2,-2.204
208,325,691,-1,0,-9.9
208,327,1584,1,-2.808,-4.757
208,329,656,1,-9.9,0
208,331,1403,1,-5.67,-1.65
208,333,1137,-1,-1.7,-2.624
208,335,954,1,-4.3,-1.265
208,337,1355,1,-5.46,-3.465
208,339,1535,1,-3.952,-3.978
209,171,2477,-1,-1.9,-5.84
209,173,5038,1,-5.406,-5.36
209,175,6284,1,-1.808,-4.898
209,177,6307,1,-1.92,-2.928
209,179,2539,-1,-1.881,-3.869
209,181,3956,-1,-1.9,-1.938
209,183,6142,-1,-3.328,-4.312
209,185,3356,1,-4.823,-1.734
209,187,2640,1,-5.568,-1.52
209,189,6987,1,-4.964,-5.978
209,191,2603,1,-5.661,-2.691
209,193,2226,-1,-1.5,-5.487
209,195,4053,1,-5.005,-4.004
209,197,5065,1,-5.06,-4.092
209,199,5756,-1,-1.909,-5.928
209,201,2825,-1,-2.26,-4.326
209,203,4016,1,-5.95,-1.98
209,205,4335,-1,-2.04,-2.124
209,207,3288,-1,-1.05,-5.056
209,209,2675,1,-3.045,-2.046
209,211,2997,-1,-4.845,-4.816
209,213,6486,1,-5.103,-2.14
209,215,1805,-1,-1.32,-4.35
209,217,5509,1,-5.208,-3.201
209,219,3907,-1,-1.704,-5.67
209,221,3127,-1,-3.456,-3.51
209,223,1950,-1,-2.304,-5.33
209,225,2356,1,-5.328,-2.34
209,227,9133,-1,-2.508,-3.528
209,229,2535,-1,-1.701,-4.686
209,231,2383,1,-4.96,-2.916
209,233,2416,1,-9.9,0
209,235,5524,-1,-2.592,-5.625
209,237,2291,-1,-1.17,-5.12
209,239,1773,-1,-1.417,-3.366
209,241,3224,1,-4.785,-3.784
209,243,2354,1,-5.307,-1.287
209,245,1886,1,-5.406,-3.39
209,247,1584,-1,-2.376,-5.4
209,249,2979,-1,-2.968,-4.992
209,251,2183,1,-1.695,-1.656
209,253,1935,1,-4.056,-1.06
209,255,2858,1,-1.68,-1.65
209,257,1288,1,-5.04,-1.068
209,259,3514,1,-5.544,-1.485
209,261,3001,-1,-2.816,-4.851
209,263,1683,-1,-1.199,-5.208
209,265,1782,1,-3.066,-1.092
209,267,2054,1,-5.796,-2.85
209,269,1620,-1,0,-9.9
209,271,1843,1,-3.408,-1.442
209,273,3342,-1,-1.792,-1.748
209,275,4386,-1,-2.2,-2.204
209,277,3868,1,-4.158,-3.159
209,279,2245,-1,-2.147,-3.161
209,281,3901,1,-5.916,-1.869
209,283,4101,1,-3.3,-3.255
209,285,3245,-1,-2.538,-4.5
209,287,1900,-1,-1.84,-5.832
209,289,2146,1,-5.67,-1.65
209,291,5124,-1,-3.565,-5.546
209,293,5064,-1,-1.06,-5.04
209,295,3234,-1,-1.344,-1.35
209,297,4886,1,-5.775,-4.845
209,299,2514,-1,-3.564,-4.55
209,301,7726,1,-4.662,-3.712
209,303,1943,-1,-1.456,-3.476
209,305,2804,1,-5.12,-3.105
209,307,2380,1,-4.263,-1.274
209,309,4060,1,-5.852,-2.808
209,311,3494,-1,-2.968,-4.982
209,313,1874,1,-4.266,-1.236
209,315,1534,-1,0,-9.9
209,317,4038,1,-4.818,-2.844
209,319,3934,-1,-4.88,-5.874
209,321,3182,1,-3.416,-2.448
209,323,2087,-1,-1.624,-4.65
209,325,3587,1,-5.2,-4.224
209,327,5496,1,-3.2,-4.209
209,329,1630,-1,-1.98,-5.06
209,331,2718,-1,-3.78,-3.782
209,333,2596,1,-4.18,-1.248
209,335,2048,1,-1.442,-3.492
209,337,1466,-1,-2.808,-4.757
209,339,2672,1,-5.742,-3.76
211,171,3778,1,-4.956,-5.963
211,173,3203,-1,-1.1,-4.042
211,175,2672,-1,-1.944,-3.96
211,177,4412,-1,-3.408,-3.42
211,179,3511,1,-5.06,-4.092
211,181,3010,1,-5.096,-1.1
211,183,3550,-1,-2.04,-2.124
211,185,2510,1,-4.2,-1.204
211,187,4209,1,-5.406,-5.36
211,189,2695,-1,-3.328,-4.312
211,191,3231,-1,-3.944,-4.895
211,193,1909,-1,-1.729,-3.723
211,195,4191,-1,-1.92,-2.928
211,197,2747,-1,-2.304,-5.33
211,199,2512,1,-3.675,-1.638
211,201,2222,1,-4.056,-1.06
211,203,1805,-1,-1.9,-5.84
211,205,1604,1,-4.785,-3.784
211,207,1684,1,-5.406,-3.39
211,209,1834,1,-4.977,-4.026
211,211,3775,1,-5.103,-4.116
211,213,2388,1,-5.696,-1.74
211,215,2408,1,-3.48,-1.456
211,217,2467,-1,-1.32,-4.35
211,219,1860,1,-3.888,-1.962
211,221,2056,1,-3.036,-1.026
211,223,4982,-1,-2.508,-3.528
211,225,3762,1,-1.695,-1.656
211,227,2515,1,-5.307,-1.287
211,229,2042,-1,-1.5,-5.487
211,231,1933,-1,-2.592,-5.625
211,233,1795,1,-5.568,-1.52
211,235,2084,-1,-1.881,-3.869
211,237,1838,-1,-2.352,-4.368
211,239,3789,-1,-3.969,-4.988
211,241,1787,-1,-2.26,-4.326
211,243,3127,1,-4.556,-2.553
211,245,2548,-1,-1.701,-4.686
211,247,2952,1,-3.045,-2.046
211,249,2108,1,-4.96,-2.916
211,251,1920,1,-5.208,-3.201
211,253,3362,-1,-1.68,-1.65
211,255,1810,1,-9.9,0
211,257,3348,-1,-1.596,-2.618
211,259,2925,-1,-1.7,-2.624
